Dia,Objetivo,"Nome do conjunto de anúncios","Nome do anúncio",Idade,Gênero,Alcance,Impressões,Frequência,"Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado","CPC (custo por clique no link)","CPM (custo por 1.000 impressões)","Cliques (todos)","CTR (todos)","Início dos relatórios","Término dos relatórios"
2026-03-10,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",25-34,male,56,62,1.10714286,,,2.71,,,43.70967742,1,1.61290323,2026-03-10,2026-03-10
2026-03-10,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",35-44,male,69,86,1.24637681,,,4.08,,,47.44186047,1,1.1627907,2026-03-10,2026-03-10
2026-03-10,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",18-24,female,55,61,1.10909091,,,0.93,,,15.24590164,0,0,2026-03-10,2026-03-10
2026-03-10,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",45-54,male,20,22,1.1,,,0.56,,,25.45454545,0,0,2026-03-10,2026-03-10
2026-03-10,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",55-64,female,55,63,1.14545455,,,4.59,,,72.85714286,2,3.17460317,2026-03-10,2026-03-10
2026-03-10,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",55-64,male,10,11,1.1,,,0.55,,,50,0,0,2026-03-10,2026-03-10
2026-03-10,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",18-24,male,15,17,1.13333333,,,1.31,,,77.05882353,0,0,2026-03-10,2026-03-10
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",35-44,male,59,97,1.6440678,,,2.74,,,28.24742268,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",25-34,male,44,108,2.45454545,"Conversas por mensagem iniciadas",1,2.89,2.89,2.89,26.75925926,2,1.85185185,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",18-24,male,14,25,1.78571429,,,0.14,,,5.6,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",25-34,female,70,159,2.27142857,,,2.08,,2.08,13.08176101,2,1.25786164,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",45-54,male,8,9,1.125,,,0.14,,,15.55555556,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",18-24,female,23,80,3.47826087,,,0.39,,,4.875,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",65+,female,15,15,1,,,1.18,,1.18,78.66666667,1,6.66666667,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",55-64,male,3,4,1.33333333,,,0.17,,,42.5,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",55-64,female,8,12,1.5,,,0.75,,0.75,62.5,5,41.66666667,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",65+,male,2,2,1,,,0,,,0,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",35-44,female,105,214,2.03809524,,,3.45,,1.725,16.12149533,2,0.93457944,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",45-54,female,20,30,1.5,,,0.7,,,23.33333333,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,25-34,female,392,531,1.35459184,,,8.27,,8.27,15.57438795,7,1.31826742,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Litoral]","[Video 001] - [Teste B] - [16s] - [Msg Litoral]",25-34,unknown,1,1,1,,,0.02,,,20,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,18-24,female,79,110,1.39240506,,,0.93,,0.465,8.45454545,3,2.72727273,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,45-54,female,142,165,1.16197183,"Conversas por mensagem iniciadas",1,3.8,3.8,3.8,23.03030303,3,1.81818182,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,25-34,male,222,267,1.2027027,,,4.45,,2.225,16.66666667,3,1.12359551,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,35-44,female,564,739,1.31028369,"Conversas por mensagem iniciadas",2,18.19,9.095,3.03166667,24.61434371,17,2.30040595,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,35-44,male,249,333,1.3373494,,,8.74,,8.74,26.24624625,7,2.1021021,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,18-24,male,58,72,1.24137931,,,0.6,,,8.33333333,0,0,2026-03-09,2026-03-09
