"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio",Objetivo,Alcance,Impressões,Frequência,"Tipo de resultado",Resultados,"Valor usado (BRL)","Conversas por mensagem iniciadas",Leads,"Cliques (todos)","Início dos relatórios","Término dos relatórios"
RPA-[Mensagem]-[Empréstimo]-[RS],[RS]-[25-45]-[Whats-6598]-[Card],"AD02-[Card]-[Pagando Juros Altos Simplificado]",OUTCOME_LEADS,1704,3191,1.87265258,"Conversas por mensagem iniciadas",4,105.93,4,,23,2025-08-01,2026-02-11
"Post do Instagram: Vai financiar seu CARRO 🚗 ou...","Post do Instagram: Vai financiar seu CARRO 🚗 ou...","Post do Instagram: Vai financiar seu CARRO 🚗 ou...",OUTCOME_ENGAGEMENT,1981,3258,1.64462393,"Conversas por mensagem iniciadas",9,103.42,9,,24,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[PR]",[PR]-[Whatsapp-7068],"AD03-[Video]-[Roxo]-[Se você é responsável]",OUTCOME_ENGAGEMENT,7162,10334,1.44289305,"Conversas por mensagem iniciadas",15,98.77,15,,115,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[PR]",[PR]-[Whatsapp-7068],"AD02-[Video]-[Azul]-[Fez empréstimo na conta de luz]",OUTCOME_ENGAGEMENT,5608,8151,1.45345934,"Conversas por mensagem iniciadas",14,93.37,14,,111,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[RS]","001 aberto — Cópia",ADV01,OUTCOME_ENGAGEMENT,4980,6915,1.38855422,"Conversas por mensagem iniciadas",17,91.13,17,,77,2025-08-01,2026-02-11
"[Antiga]-[Mensagem]-[Revisão Energia]-[PR]","001 - Whats 9459",AD01,OUTCOME_ENGAGEMENT,5152,6498,1.26125776,"Conversas por mensagem iniciadas",87,76.29,87,1,351,2025-08-01,2026-02-11
"[Antiga]-[Mensagem]-[Revisão Energia]-[PR]","001 - Whatsapp 9073",AD01,OUTCOME_ENGAGEMENT,4587,5647,1.23108786,"Conversas por mensagem iniciadas",78,64.6,78,,343,2025-08-01,2026-02-11
RPA-[Mensagem]-[Empréstimo]-[RS],[RS]-[25-45]-[Whats-6598]-[Vídeo],"AD03-[Vídeo]-[Café no Escritório POA]",OUTCOME_LEADS,1155,1673,1.44848485,"Conversas por mensagem iniciadas",2,50.1,2,,20,2025-08-01,2026-02-11
"[Teste]-[Mensagem]-[Revisão Energia]-[RS]",[RS]-[Whatsapp-7068]-[25+],"AD02 - Estático - Conta de Luz Alta - A Vermelho",OUTCOME_ENGAGEMENT,3650,3849,1.05452055,"Conversas por mensagem iniciadas",10,38.62,10,,67,2025-08-01,2026-02-11
"[Teste]-[Mensagem]-[Revisão Energia]-[RS]",[RS]-[Whatsapp-7068]-[25+],"AD02 - Estático - Conta de Luz Alta - B Roxo",OUTCOME_ENGAGEMENT,2441,2505,1.02621876,"Conversas por mensagem iniciadas",9,29.9,9,,55,2025-08-01,2026-02-11
RPA-[Mensagem]-[Empréstimo]-[RS],[RS]-[25-45]-[Whats-6598]-[Vídeo],AD03-[Vídeo]-[Elevador],OUTCOME_LEADS,872,1296,1.48623853,,,28.93,,,18,2025-08-01,2026-02-11
"RPA-[Leads]-[Formulário Nativo]-{[RS]-[PR]}",[PR]-[Whatsapp-7068]-[25+],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de energia]",OUTCOME_LEADS,1520,1600,1.05263158,"Leads (formulário)",2,26.02,1,2,26,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[RS]",[RS]-[Whatsapp-7068],ADV01,OUTCOME_ENGAGEMENT,925,1075,1.16216216,"Conversas por mensagem iniciadas",4,20.45,4,,25,2025-08-01,2026-02-11
"[Antiga]-[Mensagem]-[Revisão Energia]-[PR]",[PR]-[Whatsapp-7068]-[25+],AD01,OUTCOME_ENGAGEMENT,892,1075,1.20515695,"Conversas por mensagem iniciadas",19,18.69,19,,43,2025-08-01,2026-02-11
"[Antiga]-[Mensagem]-[Revisão Energia]-[PR]",[PR]-[Whatsapp-7068]-[25+],ADV01,OUTCOME_ENGAGEMENT,485,553,1.14020619,,,11.57,,,5,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[PR]",[PR]-[Whatsapp-7068],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_ENGAGEMENT,733,733,1,,,10.68,,,34,2025-08-01,2026-02-11
"[Antiga]-[Mensagem]-[Revisão Energia]-[PR]","001 - Whats 9459",ADV01,OUTCOME_ENGAGEMENT,703,802,1.14082504,,,9.92,,,8,2025-08-01,2026-02-11
"RPA-[Leads]-[Revisão Crediário]-[RS]","[RS]-[Leads]-[Excluir SAP e Caraá]","AD02-[Vídeo]-[Azul]-[Financiamento veicular]",OUTCOME_LEADS,96,148,1.54166667,,,5.35,,,4,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[RS]","001 aberto — Cópia","ADV01 — Cópia",OUTCOME_ENGAGEMENT,141,209,1.4822695,"Conversas por mensagem iniciadas",1,4.1,1,,4,2025-08-01,2026-02-11
RPA-[Tráfego]-[Veículos]-[RS],[RS]-[RS]-[25-45]-[Calculadora]-[Whats-6598],"AD02-[Card]-[Pagando Juros Altos]",OUTCOME_LEADS,234,245,1.04700855,,,0.75,,,1,2025-08-01,2026-02-11
"[Antiga]-[Mensagem]-[Revisão Energia]-[PR]","001 - Whatsapp 9073",ADV01,OUTCOME_ENGAGEMENT,16,17,1.0625,,,0.25,,,0,2025-08-01,2026-02-11
